Country,Year,PDF_URL,Source,Document_Title,Status,Notes
Afghanistan,2015,https://www.imf.org/external/pubs/ft/scr/2015/cr15324.pdf,IMF,IMF Country Report No. 15/324 - 2015 Article IV + SMP Review (Nov 2015),Needs Verification,Likely contains DSA for 2015 | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2015/cr15324.pdf
Afghanistan,2018,https://documents.worldbank.org/curated/en/788961570787729775/pdf/Afghanistan-Joint-World-Bank-IMF-Debt-Sustainability-Analysis-December-2018.pdf,World Bank/IMF,Afghanistan - Joint World Bank-IMF Debt Sustainability Analysis : December 2018,Needs Verification,WB Report #142551; published 2018-12-30
Afghanistan,2019,https://documents.worldbank.org/curated/en/686681580755630752/pdf/IBArchive-4bad943a-fd2f-4c08-bcfd-217ea2f310fb.pdf,World Bank/IMF,Afghanistan - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #145641; published 2019-12-01
Afghanistan,2020,https://documents.worldbank.org/curated/en/637211593180551644/pdf/IBArchive-031819ff-3224-451a-8580-31ff1cd0be1b.pdf,World Bank/IMF,Afghanistan - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #150109; published 2020-04-01
Afghanistan,2016,https://www.imf.org/-/media/files/dsa/external/pubs/ft/dsa/pdf/2016/dsacr16252.pdf,IMF,Islamic Republic of Afghanistan: Debt Sustainability Analysis,Needs Verification,Found via web search. Afghanistan continues to be at a high risk of debt distress. ... DEBT SUSTAINABILITY ANALYSIS. 4. Af
Afghanistan,2017,https://www.imf.org/-/media/files/dsa/external/pubs/ft/dsa/pdf/2017/dsacr17377.pdf,IMF,Islamic Republic of Afghanistan: Debt Sustainability Analysis,Needs Verification,Found via web search. This debt sustainability analysis (DSA)2concludes that ... Afghanistan: Indicators of Public Debt Un
Afghanistan,2021,https://www.imf.org/-/media/files/publications/cr/2021/english/1afgea2021002.pdf,IMF,Islamic Republic of Afghanistan: First Review Under the ...,Needs Verification,Found via web search. This debt sustainability analysis (DSA) update confirms Afghanistan's risk of external and overall d
Afghanistan,2022,https://documents1.worldbank.org/curated/en/412161606925441043/pdf/Afghanistan-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,Afghanistan Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,Found via web search. This debt sustainability analysis (DSA) assesses Afghanistan's risk of external and overall debt dis
Afghanistan,2023,https://documents1.worldbank.org/curated/en/637211593180551644/pdf/Afghanistan-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,Afghanistan Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,Found via web search. This debt sustainability analysis (DSA) assesses Afghanistan's external and overall risk of debt dis
Afghanistan,2024,https://documents1.worldbank.org/curated/en/637211593180551644/pdf/Afghanistan-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,Afghanistan Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,Found via web search. This debt sustainability analysis (DSA) assesses Afghanistan's external and overall risk of debt dis
Afghanistan,2025,https://documents1.worldbank.org/curated/en/637211593180551644/pdf/Afghanistan-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,Afghanistan Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,Found via web search. This debt sustainability analysis (DSA) assesses Afghanistan's external and overall risk of debt dis
Bangladesh,2005,,IMF,,Manual Review,DSA framework launched April 2005; no PDF link confirmed for DSA
Bangladesh,2006,,IMF,,Manual Review,No clear 2006 Article IV found; no DSA link confirmed
Bangladesh,2007,https://www.imf.org/external/pubs/ft/scr/2007/cr07234.pdf,IMF,IMF Country Report No. 07/234 - 2007 Article IV Consultation (July 2007),Needs Verification,Verify DSA appendix | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2007/cr07234.pdf
Bangladesh,2008,https://www.imf.org/external/pubs/ft/scr/2008/cr08334.pdf,IMF,IMF Country Report No. 08/334 - 2008 Article IV Consultation,Needs Verification,Verify DSA appendix exists | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2008/cr08334.pdf
Bangladesh,2009,https://www.imf.org/external/pubs/ft/scr/2010/cr1055.pdf,IMF,IMF Country Report No. 10/55 - 2009 Article IV Consultation (Feb 2010),Needs Verification,DSA based on data as of end-FY2009; published Feb 2010 | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2010/cr1055.pdf
Bangladesh,2010,,IMF,,Manual Review,No separate 2010 Article IV; 2009 Article IV published Feb 2010 covers through FY2009
Bangladesh,2011,https://www.imf.org/external/pubs/ft/scr/2011/cr11314.pdf,IMF,IMF Country Report No. 11/314 - 2011 Article IV Consultation,Needs Verification,Bangladesh at low risk of external debt distress | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2011/cr11314.pdf
Bangladesh,2013,https://documents.worldbank.org/curated/en/558111468210580882/pdf/764550BR0IDA0S0OFFICIAL0USE0ONLY090.pdf,World Bank/IMF,Bangladesh - Joint Bank-Fund debt sustainability analysis update,Needs Verification,WB Report #76455; published 2013-02-20
Bangladesh,2013,https://documents.worldbank.org/curated/en/997521468199725344/pdf/Bangladesh-Joint-Bank-fund-debt-sustainability-analysis-update-for-2013.pdf,World Bank/IMF,Bangladesh - Joint Bank-fund debt sustainability analysis update for 2013,Needs Verification,WB Report #78554; published 2013-05-29
Bangladesh,2014,https://documents.worldbank.org/curated/en/112651468205175390/pdf/896030BR0IDA0S00Box0385286B00OUO090.pdf,World Bank/IMF,Bangladesh - Joint bank-fund debt sustainability analysis : 2014 update,Needs Verification,WB Report #89603; published 2014-06-02
Bangladesh,2015,https://www.imf.org/external/pubs/ft/scr/2015/cr15305.pdf,IMF,IMF Country Report No. 15/305 - Bangladesh 2015 Article IV,Needs Verification,Published Feb 2016; verify DSA appendix | Alt URL: https://www.imf.org/-/media/external/pubs/ft/scr/2015/cr15305.pdf
Bangladesh,2018,https://documents.worldbank.org/curated/en/930921539630112023/pdf/130850-WP-PUBLIC-WBG-Bangladesh-Debt-Sustainability-Analysis-2018-Update-Final-Oct1518.pdf,World Bank/IMF,Bangladesh - Joint Bank-Fund Debt Sustainability Analysis : 2018 Update,Needs Verification,WB Report #130850; published 2018-10-01
Bangladesh,2019,https://documents.worldbank.org/curated/en/433161571855501067/pdf/IBArchive-96060ebc-fb45-416f-b8e1-9f020fe01eb3.pdf,World Bank/IMF,Bangladesh - Joint World Bank-IMF Debt Sustainability Analysis : September 2019,Needs Verification,WB Report #142980; published 2019-09-01
Bangladesh,2020,https://documents.worldbank.org/curated/en/356781596232247184/pdf/IBArchive-939b4c65-ae73-4fa1-9afb-df988b34b690.pdf,World Bank/IMF,Bangladesh - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #151356; published 2020-05-01
Bangladesh,2022,https://documents.worldbank.org/curated/en/519861650380988320/pdf/IBArchive-0925c503-cf25-4467-bdc2-6826335ce22a.pdf,World Bank/IMF,Bangladesh - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #170663; published 2022-04-01
Bangladesh,2023,https://documents.worldbank.org/curated/en/099225503032311382/pdf/BOSIB-0dcca4f4-5794-4b02-8b99-baa823668657.pdf,World Bank/IMF,Bangladesh - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #180616; published 2023-01-31
Bangladesh,2023,https://documents.worldbank.org/curated/en/099012924163513235/pdf/BOSIB-30c6d9a5-8057-4d51-8303-f7a6f7aeb006.pdf,World Bank/IMF,Bangladesh - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #187430; published 2023-12-31
Bangladesh,2024,https://documents.worldbank.org/curated/en/099081324132541099/pdf/BOSIB-d5a3079d-ba6a-4361-b748-6e8b74f7be74.pdf,World Bank/IMF,Bangladesh - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #193026; published 2024-06-30
Bangladesh,2025,https://documents.worldbank.org/curated/en/099082225134514559/pdf/BOSIB-88848dd3-3901-4e23-9351-e5ee1bdf8c39.pdf,World Bank/IMF,Bangladesh - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #203963; published 2025-08-22
Bangladesh,2012,https://www.imf.org/external/pubs/ft/dsa/pdf/2013/dsacr1361.pdf,IMF,Bangladesh: Joint IMF/World Bank Debt Sustainability Analysis,Needs Verification,"Found via web search. This debt sustainability analysis (DSA) updates ... At end-FY12 (i.e., end-June 2012), Bangladesh's "
Bangladesh,2016,https://www.imf.org/external/pubs/ft/dsa/pdf/2016/dsacr1627.pdf,IMF,Bangladesh: Debt Sustainability Analysis,Needs Verification,"Found via web search. This debt sustainability analysis (DSA) updates the joint IMF/IDA full DSA from October 5, 2015.1. T"
Bangladesh,2017,https://www.imf.org/external/pubs/ft/dsa/pdf/2017/dsacr17147.pdf,IMF,Bangladesh: Debt Sustainability Analysis,Needs Verification,Found via web search. This debt sustainability analysis (DSA) fully updates the January 2016 joint IMF/IDA DSA. Bangladesh
Bangladesh,2021,https://documents1.worldbank.org/curated/en/519861650380988320/pdf/Bangladesh-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,Bangladesh: Joint Bank-Fund Debt Sustainability Analysis,Needs Verification,Found via web search. BANGLADESH: JOINT BANK-FUND DEBT SUSTAINABILITY ANALYSIS. Risk of external debt distress. Low. Overa
Benin,2018,https://documents.worldbank.org/curated/en/161191546550731868/pdf/IBArchive-061e6246-356e-475d-a382-a25488dea7ad.pdf,World Bank/IMF,Benin - Joint Bank-Fund Debt Sustainability Analysis : 2018 Update,Needs Verification,WB Report #133309; published 2018-12-28
Benin,2019,https://documents.worldbank.org/curated/en/850681570637260305/pdf/Benin-Joint-World-Bank-IMF-Debt-Sustainability-Analysis-July-2019.pdf,World Bank/IMF,Benin - Joint World Bank-IMF Debt Sustainability Analysis : July 2019,Needs Verification,WB Report #142480; published 2019-07-01
Benin,2019,https://documents.worldbank.org/curated/en/168441587608628335/pdf/IBArchive-37097c8c-855c-4c96-b961-ce90d7a6a9de.pdf,World Bank/IMF,Benin - Joint World Bank-IMF Debt Sustainability Analysis : December 2019,Needs Verification,WB Report #147906; published 2019-12-01
Benin,2020,https://documents.worldbank.org/curated/en/783071597159615166/pdf/IBArchive-08360150-e483-4c6c-86f3-c429b7c6d828.pdf,World Bank/IMF,Benin - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #151644; published 2020-05-10
Benin,2022,https://documents.worldbank.org/curated/en/099005008122275133/pdf/BOSIB-f7e67208-1c0d-40be-9b5a-47a6ad298e06.pdf,World Bank/IMF,Benin - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #175115; published 2022-08-01
Benin,2022,https://documents.worldbank.org/curated/en/099920012232211847/pdf/BOSIB-65279acf-2881-49d7-9bbb-6f7631ce3ec5.pdf,World Bank/IMF,Benin - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #178938; published 2022-12-31
Benin,2023,https://documents.worldbank.org/curated/en/099061623155514622/pdf/BOSIB-d27f89c3-f0e1-4a10-89d2-8f20435b75b2.pdf,World Bank/IMF,Benin - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #182926; published 2023-05-31
Benin,2024,https://documents.worldbank.org/curated/en/099030624181024374/pdf/BOSIB-32073d4d-efba-426b-b01e-b4bcd26d7e33.pdf,World Bank/IMF,Benin - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #188160; published 2024-03-07
Benin,2024,https://documents.worldbank.org/curated/en/099080724144026187/pdf/BOSIB-1951e84b-e711-45b0-b79b-e4521e0b25ab.pdf,World Bank/IMF,Benin - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #192931; published 2024-06-30
Benin,2024,https://documents.worldbank.org/curated/en/099030625140517077/pdf/BOSIB-f1a45976-decf-464c-9221-004746d1afa7.pdf,World Bank/IMF,Benin - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #197680; published 2024-12-31
Benin,2025,https://documents.worldbank.org/curated/en/099070225111566357/pdf/BOSIB-bdf48788-8b13-4a50-80f4-e80226422e9b.pdf,World Bank/IMF,Benin – Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #202828; published 2025-06-30
Benin,2005,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr08374.pdf,IMF,Joint IMF/World Bank Debt Sustainability Analysis 20081,Needs Verification,Found via web search. This debt sustainability analysis (DSA) confirms that Benin's risk of debt distress remains moderate
Benin,2006,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr08374.pdf,IMF,Joint IMF/World Bank Debt Sustainability Analysis 20081,Needs Verification,Found via web search. This debt sustainability analysis (DSA) confirms that Benin's risk of debt distress remains moderate
Benin,2007,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr08374.pdf,IMF,Joint IMF/World Bank Debt Sustainability Analysis 20081,Needs Verification,Found via web search. This debt sustainability analysis (DSA) confirms that Benin's risk of debt distress remains moderate
Benin,2008,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr08374.pdf,IMF,Joint IMF/World Bank Debt Sustainability Analysis 20081,Needs Verification,Found via web search. This debt sustainability analysis (DSA) confirms that Benin's risk of debt distress remains moderate
Benin,2009,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr08374.pdf,IMF,Joint IMF/World Bank Debt Sustainability Analysis 20081,Needs Verification,Found via web search. This debt sustainability analysis (DSA) confirms that Benin's risk of debt distress remains moderate
Benin,2010,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr10195.pdf,IMF,Joint IMF/World Bank Debt Sustainability Analysis 2010,Needs Verification,"Found via web search. May 27, 2010. This debt sustainability analysis (DSA) confirms the result from previous DSAs that Be"
Benin,2011,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr11243.pdf,IMF,Joint IMF/World Bank Debt Sustainability Analysis 2011,Needs Verification,Found via web search. This debt sustainability analysis (DSA) suggests that Benin's risk of debt distress is low. Under ba
Benin,2012,https://documents1.worldbank.org/curated/en/783071597159615166/pdf/Benin-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,Benin Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,Found via web search. Benin remains at moderate risk of external debt distress. The rating is unchanged from the previous 
Benin,2013,https://documents1.worldbank.org/curated/en/783071597159615166/pdf/Benin-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,Benin Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,Found via web search. Benin remains at moderate risk of external debt distress. The rating is unchanged from the previous 
Benin,2014,https://www.imf.org/-/media/files/dsa/external/pubs/ft/dsa/pdf/2016/dsacr1606.pdf,IMF,Benin: Debt Sustainability Analysis,Needs Verification,Found via web search. CONSULTATION—DEBT SUSTAINABILITY ANALYSIS. This debt sustainability analysis (DSA) for Benin finds a
Benin,2015,https://www.imf.org/-/media/files/dsa/external/pubs/ft/dsa/pdf/2016/dsacr1606.pdf,IMF,Benin: Debt Sustainability Analysis,Needs Verification,"Found via web search. This debt sustainability analysis (DSA) for Benin finds a low risk of debt distress, as in the 2012."
Benin,2016,https://www.imf.org/-/media/files/dsa/external/pubs/ft/dsa/pdf/2016/dsacr1606.pdf,IMF,Benin: Debt Sustainability Analysis,Needs Verification,Found via web search. CONSULTATION—DEBT SUSTAINABILITY ANALYSIS. This debt sustainability analysis (DSA) for Benin finds a
Benin,2017,https://www.imf.org/-/media/files/dsa/external/pubs/ft/dsa/pdf/2017/dsacr17100.pdf,IMF,Benin: Debt Sustainability Analysis,Needs Verification,"Found via web search. This debt sustainability analysis (DSA) for Benin finds a moderate risk of debt distress, higher tha"
Benin,2021,https://documents1.worldbank.org/curated/en/783071597159615166/pdf/Benin-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,Benin Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,Found via web search. Benin remains at moderate risk of external debt distress. The rating is unchanged from the previous 
Bhutan,2018,https://documents.worldbank.org/curated/en/551711545410951966/pdf/IBArchive-95f52f8b-8ebb-4ef5-a0f7-0d236662766b.pdf,World Bank/IMF,Bhutan - Joint Bank-Fund Debt Sustainability Analysis : 2018 Update,Needs Verification,WB Report #133158; published 2018-12-18
Bhutan,2022,https://documents.worldbank.org/curated/en/488281658347551069/pdf/IBArchive-2fd694a6-246a-43f2-bd6b-0af2b50fce45.pdf,World Bank/IMF,Bhutan - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #174177; published 2022-07-01
Bhutan,2024,https://documents.worldbank.org/curated/en/099102324111518795/pdf/BOSIB-6503606a-b429-4069-a6cf-945357bff585.pdf,World Bank/IMF,Bhutan - Joint World Bank-IMF Debt Sustainability Analysis,Needs Verification,WB Report #194272; published 2024-08-31
Bhutan,2005,https://documents1.worldbank.org/curated/en/883571468315301247/pdf/356200DSAGUIDE.pdf,World Bank,How to do a Debt Sustainability Analysis for Low-Income ...,Needs Verification,Found via web search. A debt sustainability analysis (DSA) assesses how a country's ... Bhutan. Strong. IDA-only. Papua Ne
Bhutan,2006,https://www.imf.org/external/pubs/ft/dsa/pdf/2016/dsacr16206.pdf,IMF,Bhutan: Debt Sustainability Analysis,Needs Verification,Found via web search. Domestic debt remains a small fraction of public debt. UNDERLYING DEBT SUSTAINABILITY ANALYSIS ... B
Bhutan,2007,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr09334.pdf,IMF,Joint IMF/World Bank Debt Sustainability Analysis 2009,Needs Verification,Found via web search. Joint IMF/World Bank Debt Sustainability Analysis 20091 ... ➢ Bhutan has a strong track record of pr
Bhutan,2008,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr09334.pdf,IMF,Joint IMF/World Bank Debt Sustainability Analysis 2009,Needs Verification,Found via web search. Joint IMF/World Bank Debt Sustainability Analysis 20091 ... projected to decline sharply as a share 
Bhutan,2009,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr09334.pdf,IMF,Joint IMF/World Bank Debt Sustainability Analysis 2009,Needs Verification,Found via web search. Joint IMF/World Bank Debt Sustainability Analysis 20091 ... projected to decline sharply as a share 
Bhutan,2010,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr09334.pdf,IMF,Joint IMF/World Bank Debt Sustainability Analysis 2009,Needs Verification,Found via web search. Joint IMF/World Bank Debt Sustainability Analysis 20091 ... projected to decline sharply as a share 
Bhutan,2011,https://www.imf.org/external/pubs/ft/scr/2011/cr11123.pdf,IMF,Bhutan: 2011 Article IV Consultation--Staff Report,Needs Verification,Found via web search. Bhutan: 2011 Article IV Consultation—Staff Report; Staff ... A staff supplement on the joint IMF/Wor
Bhutan,2012,https://www.imf.org/external/pubs/ft/dsa/pdf/2016/dsacr16206.pdf,IMF,Bhutan: Debt Sustainability Analysis,Needs Verification,Found via web search. Domestic debt remains a small fraction of public debt. UNDERLYING DEBT SUSTAINABILITY ANALYSIS ... B
Bhutan,2013,https://www.imf.org/external/pubs/ft/dsa/pdf/2016/dsacr16206.pdf,IMF,Bhutan: Debt Sustainability Analysis,Needs Verification,"Found via web search. As a result, Bhutan's debt situation is expected to improve in the medium and long term, reflecting "
Bhutan,2014,https://www.imf.org/external/pubs/ft/dsa/pdf/2016/dsacr16206.pdf,IMF,Bhutan: Debt Sustainability Analysis,Needs Verification,"Found via web search. Ratings (CPIA) to medium, from a strong rating in the 2014 DSA. In 2013 and 2014, Bhutan's 3-year mo"
Bhutan,2015,https://www.imf.org/external/pubs/ft/dsa/pdf/2016/dsacr16206.pdf,IMF,Bhutan: Debt Sustainability Analysis,Needs Verification,Found via web search. Domestic debt remains a small fraction of public debt. UNDERLYING DEBT SUSTAINABILITY ANALYSIS ... B
Bhutan,2016,https://www.imf.org/external/pubs/ft/dsa/pdf/2016/dsacr16206.pdf,IMF,Bhutan: Debt Sustainability Analysis,Needs Verification,Found via web search. UNDERLYING DEBT SUSTAINABILITY ANALYSIS. ASSUMPTIONS. 2. The ... Bhutan: Indicators of Public Debt U
Bhutan,2017,https://www.imf.org/external/pubs/ft/dsa/pdf/2016/dsacr16206.pdf,IMF,Bhutan: Debt Sustainability Analysis,Needs Verification,Found via web search. UNDERLYING DEBT SUSTAINABILITY ANALYSIS ... test of 30 percent nominal depreciation in 2017 overesti
Bhutan,2019,https://documents1.worldbank.org/curated/en/488281658347551069/pdf/Bhutan-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,bhutan : joint bank-fund debt sustainability analysis,Needs Verification,Found via web search. BHUTAN : JOINT BANK-FUND DEBT SUSTAINABILITY ANALYSIS. Risk of external debt distress. Moderate. Ove
Bhutan,2020,https://documents1.worldbank.org/curated/en/488281658347551069/pdf/Bhutan-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,bhutan : joint bank-fund debt sustainability analysis,Needs Verification,Found via web search. BHUTAN : JOINT BANK-FUND DEBT SUSTAINABILITY ANALYSIS. Risk of external debt distress. Moderate. Ove
Bhutan,2021,https://documents1.worldbank.org/curated/en/488281658347551069/pdf/Bhutan-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,bhutan : joint bank-fund debt sustainability analysis,Needs Verification,Found via web search. BHUTAN : JOINT BANK-FUND DEBT SUSTAINABILITY ANALYSIS. Risk of external debt distress. Moderate. Ove
Bhutan,2023,https://documents1.worldbank.org/curated/en/488281658347551069/pdf/Bhutan-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,bhutan : joint bank-fund debt sustainability analysis,Needs Verification,Found via web search. BHUTAN : JOINT BANK-FUND DEBT SUSTAINABILITY ANALYSIS. Risk of external debt distress. Moderate. Ove
Bhutan,2025,https://documents1.worldbank.org/curated/en/488281658347551069/pdf/Bhutan-Joint-World-Bank-IMF-Debt-Sustainability-Analysis.pdf,World Bank,bhutan : joint bank-fund debt sustainability analysis,Needs Verification,Found via web search. BHUTAN : JOINT BANK-FUND DEBT SUSTAINABILITY ANALYSIS. Risk of external debt distress. Moderate. Ove
Burkina Faso,2005,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr09222.pdf,IMF,Burkima Faso: Joint Bank/Fund debt sustainability analysis,Needs Verification,Found via web search. The debt sustainability outlook for Burkina Faso is aligned with the results of the previous debt su
Burkina Faso,2006,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr09222.pdf,IMF,Burkima Faso: Joint Bank/Fund debt sustainability analysis,Needs Verification,Found via web search. The debt sustainability outlook for Burkina Faso is aligned with the results of the previous debt su
Burkina Faso,2007,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr09222.pdf,IMF,Burkima Faso: Joint Bank/Fund debt sustainability analysis,Needs Verification,Found via web search. The debt sustainability outlook for Burkina Faso is aligned with the results of the previous debt su
Burkina Faso,2008,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr09222.pdf,IMF,Burkima Faso: Joint Bank/Fund debt sustainability analysis,Needs Verification,Found via web search. The debt sustainability outlook for Burkina Faso is aligned with the results of the previous debt su
Burkina Faso,2009,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr09222.pdf,IMF,Burkima Faso: Joint Bank/Fund debt sustainability analysis,Needs Verification,Found via web search. The debt sustainability outlook for Burkina Faso is aligned with the results of the previous debt su
Burkina Faso,2010,https://www.imf.org/external/pubs/ft/dsa/pdf/dsacr09222.pdf,IMF,Burkima Faso: Joint Bank/Fund debt sustainability analysis,Needs Verification,Found via web search. The debt sustainability outlook for Burkina Faso is aligned with the results of the previous debt su
Burkina Faso,2011,https://www.imf.org/external/pubs/ft/dsa/pdf/2012/dsacr12159.pdf,IMF,Burkina Faso: Debt Sustainability Analysis,Needs Verification,"Found via web search. Burkina Faso: Stock of Public Debt, 2008-2011. (CFAF billions). INTERNATIONAL MONETARY FUND. BURKINA"
Burkina Faso,2012,https://www.imf.org/external/pubs/ft/dsa/pdf/2012/dsacr12159.pdf,IMF,Burkina Faso: Debt Sustainability Analysis,Needs Verification,Found via web search. Debt Sustainability Analysis. Prepared by the ... Table 5b.Burkina Faso: Sensitivity Analysis for Ke
Burkina Faso,2013,https://www.imf.org/external/pubs/ft/dsa/pdf/2012/dsacr12159.pdf,IMF,Burkina Faso: Debt Sustainability Analysis,Needs Verification,Found via web search. Debt Sustainability Analysis. Prepared by the staffs of the ... Burkina Faso: External Debt Sustaina
Burkina Faso,2014,https://www.imf.org/-/media/files/dsa/external/pubs/ft/dsa/pdf/2015/dsacr15202.pdf,IMF,Burkina Faso: Debt Sustainability Analysis,Needs Verification,"Found via web search. Based on this updated assessment, Burkina Faso continues to face moderate risk of debt distress. Und"
